Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
1928,Hindi,5,भाषा बोध,डॉ.सी.एल. मिश्री,रॉबिन इंटरनेशनल,-,69,Good,8330,1
1929,Hindi,5,सुगंधा,"राजेश कुमार शर्मा
सुरेंद्र कुमार शर्मा","जी.राम. बुक्स
प्रा.लि",2009,110,Good,8330,1
1930,Hindi,5,वाटिका,डॉ राजेश दुल,आयु बुक डिपो,2014,190,Good,8330,1
1931,Hindi,4,संचय,डॉ॰ कुमुद शर्मा,थी स्टार पब्लिकेशंन,-,170,Good,8330,1
1932,Hindi,4,संचय,डॉ॰ कुमुद शर्मा ,थी स्टार पब्लिकेशंन,-,170,Good,8330,1
1933,Hindi,4,पराग,डॉ मनीष शर्मा,सृजन पब्लिशर्स,2007,149,Good,8330,1
1934,Hindi,4,राष्ट्रभाषा,डॉक्टर सुरिंदर कौर,ऐवर सीन पब्लिकेशन,2013,150,Good,8330,1
1935,Hindi,5,अनुराग,सत्य नारायण लाल अंकीम‌ चंद्र,ओरिएंटल लोंगमैन,2005,64,Good,8330,
1936,Hindi,5,शिखर ,कृष्ण कुमार गोस्वामी,सृजन पब्लिशर्स,2014,249,Good,8330,
1937,Hindi,3,भाषा भारती,डॉ ए के शर्मा,होली सिटी,2014,37,Good,8330,
1938,Hindi,5,संकल्प,श्रीमती पारस गुप्ता,लैंडमार्क्स बुक्स प्राइवेट लिमिटेड,2009,105,Good,8330,
1939,Hindi,8,भाषा मंथन,त्रिलोक कौशिक राजेश कुमार विद्यार्थी,हेल्पलाइन,2007,124,Good,8330,
1940,Hindi,5,बिखरे मोती,गिरिजा गोस्वामी,किड्स वर्ल्ड,2007,140,Good,8330,
1941,Hindi,5,संगिनी,"आर पी श्रीवास्तव ,एस के मित्तल",फैक एजुकेशन एप्स,2014,211,Good,8330,
1942,Hindi,8,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2005,250,Good,8330,
1943,Hindi,1,नवरंग सरल हिंदी,डॉक्टर शारदा भसीन,ओरिएंटल लोंगमैन,2003,50,Good,8330,
1944,Hindi,6,राष्ट्रीय भाषा भारती,"गंगा दत्त शर्मा ,डॉक्टर सुरेश पंथ",अविचल पब्लिशिंग,2010,72,Good,8330,
1945,Hindi,5,पराग,मनीष शर्मा,सृजन,2016,289,Good,8330,
1946,Hindi,8,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,310,Good,8330,
1947,Hindi,7,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,300,Good,8330,
1948,Hindi,6,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,295,Good,8330,
1949,Hindi,5,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,250,Good,8330,
1950,Hindi,4,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,240,Good,8330,
1951,Hindi,3,रोहिणी,देवेंद्र कुमार शर्मा,सोफी लर्नर्स,2016,230,Good,8330,
1952,Hindi,2,राष्ट्रीय वाणी,विश्वनाथ भरद्वाज,गोयल ब्रदर्स प्रकाशन,2009,36,Good,8330,
1953,Hindi,,"भाषा बोध
",श्रीमती विनीता गौतम,गौतम ब्रदर्स,2009,28,Good,8330,
1954,Hindi,3,व्याकरण आनंद,"प्रभा शर्मा ,  गीता रॉय",सोनका,2017,140,Good,8330,
1955,Hindi,7,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,300,Good,8330,
1956,Hindi,8,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,300,Good,8330,
1957,Hindi,6,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2018,280,Good,8330,
1958,Hindi,5,अक्षरा,डॉ रंजना,एवरग्रीन पब्लिकेशन,2017,230,Good,8330,
1959,Hindi,5,मेधा,"शैलेश ठाकुर, मीना श्रीवास्तव ,कुमकुम
",कृति पब्लिकेशन,2015,315,Good,8330,
1960,Hindi,7,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2015,250,Good,8330,
1961,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2015,225,Good,8330,
1962,Hindi,7,वसुधा,हरिश्चंद्र,सोम सुधा प्रकाशन,2012,170,Good,8330,
1963,Hindi,7,संचय,डॉक्टर कुमुद शर्मा,स्टार पब्लिकेशन,-,195,Good,8330,
1964,Hindi,7, हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,,250,Good,8330,
1965,Hindi,7,राष्ट्रभाषा,डॉक्टर सुरिंदर कौर,एवरग्रीन पब्लिकेशन,2013,180,Good,8330,
1966,Hindi,7,हिंदी पाठमाला,निदा फातिमा,अफेक्शन पब्लिकेशन प्राइवेट लिमिटेड,2017,295,Good,8330,
1967,Hindi,7,हिंदी अनुपम धारा,"मधुबाला रस्तोगी, कैलाश नाथ",आर टी पब्लिशर्स,2013,170,Good,8330,
1968,Hindi,7,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिशर्स,-,215,Good,8330,
1969,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिशर्स,,225,Good,8330,
1970,Hindi,8,हिंदी पाठमाला,निदा फातिमा,एजुकेशन पब्लिकेशन प्राइवेट लिमिटेड,2017,305,Good,8330,
1971,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,,210,Good,8330,
1972,Hindi,8,वसुधा,हरिश्चंद्र,सोम सुधा प्रकाशन,2012,180,Good,8330,
1973,Hindi,8,अनुगूंज,इंदिरा वेद,एडयू लाइन पब्लिशर्स,2017,290,Good,8330,
1974,Hindi,8,राष्ट्रीय भाषा,"डॉ सुरेंद्र कौर , श्रीमती कविता रफी",एवरग्रीन पब्लिकेशन,2013,180,Good,8330,
1975,Hindi,8,निर्झर,"डॉ मंजू तिवारी , विनोद तिवारी",गौतम ब्रदर्स एंड कंपनी,,100,Good,8330,
1976,Hindi,6,नर्चर,नेहा गॉड,नेचर इंडिया पब्लिकेशन,2018,265,Good,8330,
1977,Hindi,4,हिंदी सुरभी,कविता शर्मा,होली फेथ इंटरनेशनल,2018,235,Good,8330,
1978,Hindi,2,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,155,Good,8330,
1979,Hindi,4,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,180,Good,8330,
1980,Hindi,5,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशन,2018,195,Good,8330,
1981,Hindi,6,गरिमा,"वीरेंद्र जैन ,डॉक्टर प्रदीप कुमार जैन",मधुबन,2018,330,Good,8330,
1982,Hindi,4,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1983,Hindi,2,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1984,Hindi,5,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1985,Hindi,5,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1986,Hindi,4,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1987,Hindi,2,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1988,Hindi,3,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1989,Hindi,1,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1990,Hindi,,अक्षर लेखन,वीणा आहूजा,सोनका,2017,125,Good,8330,
1991,Hindi,,सुलेख सरिता,वीणा आहूजा,सोनका,2017,125,Good,8330,
1992,Hindi,5,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,
1993,Hindi,2,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,
1994,Hindi,3,नर्चर प्रबुद्ध,नेहा गौर,नर्चर इंडिया पब्लिकेशन,2016,125,Good,8330,
1995,Hindi,8,संचय,डॉक्टर कुमुद शर्मा,थ्री स्टार पब्लिकेशंस,2016,125,Good,8330,
1996,Hindi,,चंद्रशेखर,बंकिमचंद्र,हिंदी पॉकेट बुक्स,1990,15,satisfactory,8330,
1997,Hindi,,कुमार देवी,लीलावती मुंशी,किताब महल,1956,0,satisfactory,8330,
1998,Hindi,,राजा बदल,विमल मित्र,राजकमल प्रकाशन,1989,50,satisfactory,8330,
1999,Hindi,,नवानी मसनद,अमृतलाल नगर,राजपाल एंड संस,1987,25,satisfactory,8330,
2000,Hindi,,महाराणा प्रताप,विश्वनाथ,शिक्षा भारती,1979,2,satisfactory,8330,
2001,Hindi,,दुर्गेश नंदिनी,वकील चंद्र चट्टोपाध्याय,भारतीय भाषा प्रकाशन,1989,40,satisfactory,8330,
2002,Hindi,,कुमुदिनी,रविंद्र नाथ टैगोर,सन्मार्ग प्रकाशन,1969,6,satisfactory,8330,
2003,Hindi,,मंजिल से दूर,सत्य प्रकाश सागर,राजकमल प्रकाशन,1966,3,satisfactory,8330,
2004,Hindi,,प्रियदर्शनी,वीरेंद्र कुमार गुप्ता,राजपाल एंड संस,1984,30,satisfactory,8330,
2005,Hindi,,मोहिनी,विमल कर,,1979,35,satisfactory,8330,
